time,topic,topic_value,source
15,5,0.04502785950899124,antigua and barbuda
15,6,0.18763142824172974,antigua and barbuda
15,7,0.07688982039690018,antigua and barbuda
15,8,0.1117260679602623,antigua and barbuda
15,9,0.02760554477572441,antigua and barbuda
16,0,0.03888086974620819,antigua and barbuda
16,1,0.08669188618659973,antigua and barbuda
16,2,0.08976632356643677,antigua and barbuda
16,3,0.2873963713645935,antigua and barbuda
16,4,0.04929659143090248,antigua and barbuda
16,5,0.045002296566963196,antigua and barbuda
16,6,0.18714860081672668,antigua and barbuda
16,7,0.07678434252738953,antigua and barbuda
16,8,0.11147281527519226,antigua and barbuda
16,9,0.027559807524085045,antigua and barbuda
17,0,0.03878593072295189,antigua and barbuda
17,1,0.08689741045236588,antigua and barbuda
17,2,0.0891406238079071,antigua and barbuda
17,3,0.2887600064277649,antigua and barbuda
17,4,0.0491957925260067,antigua and barbuda
17,5,0.044991545379161835,antigua and barbuda
17,6,0.18675734102725983,antigua and barbuda
17,7,0.07672594487667084,antigua and barbuda
17,8,0.11121977120637894,antigua and barbuda
17,9,0.027525588870048523,antigua and barbuda
18,0,0.038692571222782135,antigua and barbuda
18,1,0.08710334450006485,antigua and barbuda
18,2,0.08852986246347427,antigua and barbuda
18,3,0.28994739055633545,antigua and barbuda
18,4,0.04910024628043175,antigua and barbuda
18,5,0.04499315470457077,antigua and barbuda
18,6,0.18645429611206055,antigua and barbuda
18,7,0.07671128958463669,antigua and barbuda
18,8,0.11096616089344025,antigua and barbuda
18,9,0.027501769363880157,antigua and barbuda
0,0,0.041595667600631714,armenia
0,1,0.08553830534219742,armenia
0,2,0.09731394052505493,armenia
0,3,0.25022584199905396,armenia
0,4,0.052401136606931686,armenia
0,5,0.048000626266002655,armenia
0,6,0.19663113355636597,armenia
0,7,0.08359098434448242,armenia
0,8,0.11440633982419968,armenia
0,9,0.03029605746269226,armenia
1,0,0.04144103825092316,armenia
1,1,0.08588971942663193,armenia
1,2,0.0961618572473526,armenia
1,3,0.2523247003555298,armenia
1,4,0.05219130590558052,armenia
1,5,0.04801091551780701,armenia
1,6,0.19616220891475677,armenia
1,7,0.08321519941091537,armenia
1,8,0.11445891112089157,armenia
1,9,0.030144067481160164,armenia
2,0,0.04118205979466438,armenia
2,1,0.08561599999666214,armenia
2,2,0.09598910063505173,armenia
2,3,0.2541889548301697,armenia
2,4,0.05185408890247345,armenia
2,5,0.047748155891895294,armenia
2,6,0.1962127983570099,armenia
2,7,0.08292412012815475,armenia
2,8,0.11439035832881927,armenia
2,9,0.029894297942519188,armenia
3,0,0.04091240465641022,armenia
3,1,0.08548017591238022,armenia
3,2,0.09570286422967911,armenia
3,3,0.2570260167121887,armenia
3,4,0.05157868191599846,armenia
3,5,0.04746215045452118,armenia
3,6,0.1956053078174591,armenia
3,7,0.08240367472171783,armenia
3,8,0.11418433487415314,armenia
3,9,0.029644295573234558,armenia
4,0,0.04066059738397598,armenia
4,1,0.08549807220697403,armenia
